employee_id,project_id,allocation_start_date,bench_days,utilization_status
EMP1630,PRJ126,2023-04-24,9,Training
EMP1631,,2025-01-29,19,Bench
EMP1632,,2026-06-19,45,Bench
EMP1633,,2021-09-24,113,Bench
EMP1634,,2023-03-28,55,Bench
EMP1635,PRJ113,2021-10-10,11,Billed
EMP1636,PRJ124,2021-12-12,5,Training
EMP1637,,2023-12-27,16,Bench
EMP1638,,2023-11-01,33,Bench
EMP1639,,2020-02-09,16,Bench
EMP1640,,2022-04-04,16,Bench
EMP1641,,2019-04-22,45,Bench
EMP1642,PRJ148,2021-11-19,11,Billed
EMP1643,,2026-01-25,49,Bench
EMP1644,PRJ130,2023-04-25,13,Training
EMP1645,PRJ122,2021-05-07,9,Billed
EMP1646,PRJ148,2020-04-01,15,Training
EMP1647,,2019-01-05,35,Bench
EMP1648,PRJ126,2025-08-16,3,Training
EMP1649,PRJ131,2022-04-16,5,Billed
EMP1650,,2022-03-07,75,Bench
EMP1651,PRJ117,2021-05-18,4,Billed
EMP1652,,2022-09-14,20,Bench
EMP1653,,2025-12-11,21,Bench
EMP1654,,2023-11-12,16,Bench
EMP1655,,2024-06-09,25,Bench
EMP1656,PRJ131,2019-02-12,6,Training
EMP1657,,2019-08-14,20,Bench
EMP1658,PRJ124,2026-05-07,11,Billed
EMP1659,,2021-04-01,27,Bench
EMP1660,PRJ142,2024-07-11,3,Training
EMP1661,,2021-11-12,21,Bench
EMP1662,PRJ146,2019-02-02,5,Training
EMP1663,PRJ129,2025-04-10,8,Billed
EMP1664,PRJ139,2026-01-03,6,Billed
EMP1665,PRJ125,2023-02-13,5,Billed
EMP1666,,2024-08-13,43,Bench
EMP1667,PRJ105,2019-04-24,8,Billed
EMP1668,,2021-12-06,65,Bench
EMP1669,,2023-04-29,87,Bench
EMP1670,,2021-08-11,21,Bench
EMP1671,PRJ108,2025-09-30,3,Training
EMP1672,PRJ111,2019-03-31,11,Training
EMP1673,,2022-04-15,39,Bench
EMP1674,PRJ116,2025-03-27,11,Billed
EMP1675,PRJ120,2024-03-13,2,Training
EMP1676,,2023-02-16,20,Bench
EMP1677,,2023-07-27,46,Bench
EMP1678,,2025-06-01,39,Bench
EMP1679,PRJ129,2025-01-11,4,Billed
EMP1680,,2025-12-10,27,Bench
EMP1681,PRJ121,2022-07-23,6,Training
EMP1682,PRJ117,2020-08-28,6,Training
EMP1683,,2020-06-26,51,Bench
EMP1684,PRJ116,2022-04-08,7,Training
EMP1685,PRJ130,2025-07-02,7,Billed
EMP1686,PRJ147,2022-02-15,0,Billed
EMP1687,,2019-10-04,51,Bench
EMP1688,,2025-04-16,39,Bench
EMP1689,,2021-03-23,24,Bench
EMP1690,,2021-04-20,34,Bench
EMP1691,PRJ122,2020-02-22,4,Billed
EMP1692,PRJ141,2019-07-25,15,Billed
EMP1693,PRJ149,2019-03-12,10,Billed
EMP1694,PRJ148,2018-11-17,2,Billed
EMP1695,,2018-11-10,16,Bench
EMP1696,,2022-09-18,63,Bench
EMP1697,PRJ115,2019-11-20,1,Billed
EMP1698,PRJ101,2022-04-09,8,Billed
EMP1699,PRJ115,2021-06-09,5,Billed
EMP1700,PRJ130,2020-11-01,6,Billed
EMP1701,,2020-10-21,59,Bench
EMP1702,PRJ136,2018-12-05,15,Billed
EMP1703,PRJ129,2026-05-16,15,Billed
EMP1704,,2021-03-04,35,Bench
EMP1705,PRJ149,2021-10-03,4,Training
EMP1706,,2023-10-30,16,Bench
EMP1707,PRJ110,2025-12-02,14,Training
EMP1708,,2022-01-10,22,Bench
EMP1709,,2020-08-14,193,Bench
EMP1710,,2022-06-26,36,Bench
EMP1711,PRJ149,2020-10-16,12,Billed
EMP1712,,2023-04-28,43,Bench
EMP1713,PRJ119,2018-09-26,4,Billed
EMP1714,PRJ137,2021-09-25,0,Billed
EMP1715,PRJ119,2020-07-16,5,Billed
EMP1716,PRJ125,2026-03-05,10,Training
EMP1717,,2024-04-20,17,Bench
EMP1718,,2022-03-13,23,Bench
EMP1719,,2024-01-30,60,Bench
EMP1720,,2020-12-22,17,Bench
EMP1721,,2025-04-21,17,Bench
EMP1722,PRJ104,2020-09-13,1,Billed
EMP1723,PRJ106,2020-11-21,0,Billed
EMP1724,,2021-03-05,20,Bench
EMP1725,PRJ143,2022-07-04,14,Training
EMP1726,,2023-12-01,45,Bench
EMP1727,PRJ136,2019-04-25,4,Billed
EMP1728,PRJ122,2023-06-06,0,Billed
EMP1729,PRJ142,2018-08-09,14,Training
EMP1730,PRJ104,2023-05-23,6,Training
EMP1731,PRJ100,2023-01-17,1,Training
EMP1732,,2018-12-29,32,Bench
EMP1733,PRJ131,2025-01-23,2,Training
EMP1734,,2025-10-30,23,Bench
EMP1735,PRJ127,2021-05-26,8,Billed
EMP1736,PRJ140,2025-01-16,4,Training
EMP1737,PRJ145,2025-04-03,11,Training
EMP1738,,2022-05-08,40,Bench
EMP1739,PRJ127,2025-07-18,12,Billed
EMP1740,,2021-05-31,34,Bench
EMP1741,PRJ146,2020-03-25,3,Billed
EMP1742,,2024-06-07,37,Bench
EMP1743,PRJ139,2018-07-31,6,Training
EMP1744,,2021-02-15,28,Bench
EMP1745,,2023-05-14,20,Bench
EMP1746,,2024-01-18,66,Bench
EMP1747,PRJ129,2022-07-06,12,Training
EMP1748,PRJ146,2019-03-13,1,Training
EMP1749,PRJ120,2026-01-10,0,Training
EMP1750,,2026-05-02,43,Bench
EMP1751,,2023-12-11,18,Bench
EMP1752,,2021-08-25,37,Bench
EMP1753,PRJ105,2025-06-11,6,Billed
EMP1754,PRJ128,2026-06-24,10,Training
EMP1755,PRJ148,2023-08-21,0,Billed
EMP1756,,2026-03-07,81,Bench
EMP1757,,2024-03-01,27,Bench
EMP1758,,2024-03-16,67,Bench
EMP1759,PRJ136,2026-01-08,7,Training
EMP1760,,2019-04-09,23,Bench
EMP1761,,2021-08-09,28,Bench
EMP1762,PRJ121,2020-03-28,9,Training
EMP1763,,2019-05-31,47,Bench
EMP1764,,2024-05-23,73,Bench
EMP1765,,2020-04-16,54,Bench
EMP1766,,2018-10-20,33,Bench
EMP1767,PRJ131,2019-01-15,8,Billed
EMP1768,PRJ111,2022-08-16,8,Training
EMP1769,,2022-11-14,82,Bench
EMP1770,PRJ113,2019-06-18,0,Training
EMP1771,,2020-05-10,31,Bench
EMP1772,,2025-06-23,30,Bench
EMP1773,,2021-10-03,24,Bench
EMP1774,,2020-02-29,115,Bench
EMP1775,PRJ116,2019-12-10,9,Training
EMP1776,PRJ117,2021-05-22,10,Training
EMP1777,PRJ135,2024-07-08,2,Training
EMP1778,PRJ133,2025-06-24,14,Billed
EMP1779,PRJ105,2019-07-04,7,Billed
EMP1780,PRJ146,2022-01-24,10,Billed
EMP1781,,2021-09-26,44,Bench
EMP1782,,2020-12-21,68,Bench
EMP1783,PRJ131,2026-03-11,5,Training
EMP1784,PRJ144,2020-01-23,11,Billed
EMP1785,,2023-02-24,65,Bench
EMP1786,PRJ141,2021-03-22,1,Training
EMP1787,PRJ128,2019-12-16,2,Training
EMP1788,PRJ105,2020-05-29,4,Billed
EMP1789,,2019-10-24,22,Bench
EMP1790,PRJ114,2021-05-15,4,Training
EMP1791,,2026-05-15,86,Bench
EMP1792,PRJ144,2021-06-18,14,Training
EMP1793,,2019-03-18,17,Bench
EMP1794,PRJ119,2024-09-21,7,Billed
EMP1795,PRJ130,2023-10-13,15,Training
EMP1796,,2020-05-25,27,Bench
EMP1797,,2026-02-19,34,Bench
EMP1798,,2024-11-09,35,Bench
EMP1799,,2026-04-18,21,Bench
EMP1800,,2019-11-25,58,Bench
EMP1801,,2024-10-25,42,Bench
EMP1802,,2019-12-01,35,Bench
EMP1803,PRJ127,2018-12-14,1,Training
EMP1804,PRJ122,2020-03-21,0,Training
EMP1805,PRJ117,2018-08-12,5,Training
EMP1806,,2022-09-21,27,Bench
EMP1807,PRJ116,2026-06-15,13,Training
EMP1808,PRJ107,2020-05-03,12,Billed
EMP1809,,2026-02-13,53,Bench
EMP1810,,2022-05-29,56,Bench
EMP1811,,2025-03-31,59,Bench
EMP1812,PRJ120,2024-02-11,9,Billed
EMP1813,,2020-12-30,29,Bench
EMP1814,PRJ147,2023-05-21,7,Billed
EMP1815,PRJ112,2020-08-10,5,Billed
EMP1816,PRJ147,2018-11-29,5,Billed
EMP1817,PRJ117,2021-11-22,10,Training
EMP1818,PRJ106,2021-07-21,14,Training
EMP1819,,2025-10-08,44,Bench
EMP1820,PRJ118,2020-11-27,3,Billed
EMP1821,,2020-12-07,33,Bench
EMP1822,,2023-11-14,18,Bench
EMP1823,PRJ123,2020-03-25,8,Billed
EMP1824,,2022-03-18,16,Bench
EMP1825,PRJ119,2024-07-21,8,Billed
EMP1826,,2025-07-07,22,Bench
EMP1827,PRJ145,2026-06-27,14,Billed
EMP1828,PRJ117,2025-09-21,4,Billed
EMP1829,PRJ103,2018-09-03,3,Billed
EMP1830,,2022-12-14,19,Bench
EMP1831,,2021-02-09,58,Bench
EMP1832,PRJ144,2019-06-25,10,Training
EMP1833,,2020-03-11,33,Bench
EMP1834,,2021-09-25,26,Bench
EMP1835,,2020-12-09,67,Bench
EMP1836,,2022-02-10,43,Bench
EMP1837,,2023-09-24,20,Bench
EMP1838,,2023-08-14,26,Bench
EMP1839,,2024-03-30,57,Bench
EMP1840,PRJ140,2024-04-21,12,Billed
EMP1841,PRJ106,2023-05-26,9,Training
EMP1842,PRJ136,2019-06-12,0,Billed
EMP1843,,2025-05-30,43,Bench
EMP1844,,2022-03-22,40,Bench
EMP1845,PRJ130,2024-01-28,2,Training
EMP1846,,2026-02-09,21,Bench
EMP1847,PRJ128,2019-11-30,15,Training
EMP1848,PRJ111,2025-11-18,3,Training
EMP1849,,2020-10-12,98,Bench
EMP1850,PRJ116,2023-07-03,6,Billed
EMP1851,PRJ107,2022-08-05,1,Training
EMP1852,,2021-10-18,22,Bench
EMP1853,,2021-07-19,33,Bench
EMP1854,PRJ125,2018-08-23,0,Billed
EMP1855,,2025-05-22,26,Bench
EMP1856,,2024-08-28,18,Bench
EMP1857,PRJ104,2018-12-17,2,Training
EMP1858,PRJ109,2025-10-05,4,Billed
EMP1859,,2023-06-25,20,Bench
EMP1860,PRJ136,2020-12-31,8,Billed
EMP1861,,2024-03-02,69,Bench
EMP1862,,2019-02-24,42,Bench
EMP1863,,2025-08-13,102,Bench
EMP1864,PRJ105,2021-10-23,7,Training
EMP1865,,2022-12-15,87,Bench
EMP1866,PRJ107,2023-03-27,14,Billed
EMP1867,PRJ138,2019-05-31,10,Training
EMP1868,PRJ149,2021-01-06,1,Billed
EMP1869,PRJ128,2020-11-10,1,Training
EMP1870,,2022-08-14,29,Bench
EMP1871,PRJ119,2021-11-30,15,Training
EMP1872,PRJ119,2021-11-25,6,Training
EMP1873,,2024-04-09,23,Bench
EMP1874,PRJ139,2026-06-22,7,Billed
EMP1875,,2025-05-13,21,Bench
EMP1876,PRJ148,2020-11-05,11,Billed
EMP1877,,2024-01-06,43,Bench
EMP1878,,2021-11-21,42,Bench
EMP1879,,2022-09-11,16,Bench
EMP1880,PRJ140,2022-01-25,10,Billed
EMP1881,PRJ116,2026-06-13,11,Billed
EMP1882,,2025-07-27,40,Bench
EMP1883,PRJ110,2020-10-16,9,Billed
EMP1884,PRJ111,2020-11-07,5,Billed
EMP1885,PRJ110,2018-10-16,2,Billed
EMP1886,PRJ126,2021-09-14,15,Billed
EMP1887,,2022-05-18,16,Bench
EMP1888,,2021-12-03,45,Bench
EMP1889,PRJ144,2019-04-10,6,Training
EMP1890,PRJ118,2024-06-06,11,Training
EMP1891,,2019-09-17,41,Bench
EMP1892,,2026-01-03,43,Bench
EMP1893,PRJ114,2023-07-14,12,Billed
EMP1894,PRJ145,2023-03-18,15,Training
EMP1895,PRJ144,2023-02-08,9,Training
EMP1896,,2024-12-05,67,Bench
EMP1897,PRJ104,2021-12-04,3,Training
EMP1898,,2024-12-07,67,Bench
EMP1899,,2022-07-15,28,Bench
EMP1900,,2025-07-04,18,Bench
EMP1901,PRJ116,2019-05-24,0,Billed
EMP1902,,2019-07-19,16,Bench
EMP1903,PRJ127,2022-05-18,13,Billed
EMP1904,PRJ134,2023-07-04,4,Billed
EMP1905,,2024-04-30,26,Bench
EMP1906,,2019-01-01,88,Bench
EMP1907,,2024-05-22,20,Bench
EMP1908,,2020-01-02,31,Bench
EMP1909,PRJ141,2024-12-28,1,Billed
EMP1910,PRJ117,2023-04-09,13,Billed
EMP1911,PRJ104,2023-05-24,3,Billed
EMP1912,,2019-10-05,23,Bench
EMP1913,,2025-12-13,69,Bench
EMP1914,,2019-07-11,27,Bench
EMP1915,PRJ110,2021-07-24,1,Billed
EMP1916,PRJ138,2025-05-23,10,Training
EMP1917,,2019-07-07,19,Bench
EMP1918,PRJ128,2024-07-06,12,Training
EMP1919,,2022-10-07,44,Bench
EMP1920,,2019-03-28,42,Bench
EMP1921,,2020-06-29,23,Bench
EMP1922,PRJ129,2022-01-31,11,Billed
EMP1923,PRJ144,2026-04-09,7,Training
EMP1924,PRJ117,2018-11-24,2,Training
EMP1925,PRJ128,2023-09-21,10,Training
EMP1926,PRJ138,2021-10-22,13,Billed
EMP1927,,2019-03-25,28,Bench
EMP1928,,2023-12-20,26,Bench
EMP1929,PRJ127,2021-06-16,1,Billed
EMP1930,PRJ138,2019-08-13,12,Training
EMP1931,PRJ101,2019-04-15,5,Training
EMP1932,PRJ114,2018-12-12,4,Billed
EMP1933,,2018-09-17,43,Bench
EMP1934,PRJ148,2019-10-29,1,Billed
EMP1935,PRJ136,2024-12-16,13,Training
EMP1936,PRJ148,2023-05-03,4,Billed
EMP1937,,2021-12-03,52,Bench
EMP1938,,2019-08-17,20,Bench
EMP1939,PRJ130,2019-02-24,6,Billed
EMP1940,,2019-10-21,17,Bench
EMP1941,,2021-12-08,32,Bench
EMP1942,,2019-03-25,79,Bench
EMP1943,PRJ117,2026-04-13,6,Training
EMP1944,,2023-10-25,54,Bench
EMP1945,,2025-12-16,68,Bench
EMP1946,,2026-04-05,62,Bench
EMP1947,,2022-01-05,25,Bench
EMP1948,,2021-09-25,24,Bench
EMP1949,PRJ137,2025-08-14,12,Billed
EMP1950,,2023-10-28,34,Bench
EMP1951,,2023-10-08,18,Bench
EMP1952,,2018-12-25,28,Bench
EMP1953,PRJ140,2021-11-26,13,Training
EMP1954,,2022-03-25,32,Bench
EMP1955,,2025-03-05,43,Bench
EMP1956,PRJ105,2022-01-04,3,Training
EMP1957,,2021-02-23,44,Bench
EMP1958,,2022-04-04,19,Bench
EMP1959,,2019-12-14,46,Bench
EMP1960,PRJ122,2018-10-23,14,Training
EMP1961,PRJ121,2024-05-15,11,Training
EMP1962,,2022-03-24,61,Bench
EMP1963,PRJ142,2019-06-15,7,Training
EMP1964,,2020-12-13,46,Bench
EMP1965,,2020-04-15,16,Bench
EMP1966,,2024-02-18,18,Bench
EMP1967,PRJ110,2020-12-30,9,Billed
EMP1968,,2024-07-04,21,Bench
EMP1969,PRJ126,2020-09-29,9,Training
EMP1970,PRJ118,2024-06-07,1,Training
EMP1971,PRJ148,2025-01-19,7,Training
EMP1972,PRJ129,2021-07-16,0,Billed
EMP1973,,2020-06-02,95,Bench
EMP1974,,2024-09-17,84,Bench
EMP1975,PRJ120,2022-06-11,12,Billed
EMP1976,,2022-11-16,32,Bench
EMP1977,PRJ120,2026-05-03,10,Training
EMP1978,,2018-11-27,27,Bench
EMP1979,,2023-03-25,40,Bench
EMP1980,,2025-10-21,73,Bench
EMP1981,PRJ149,2020-04-11,12,Billed
EMP1982,,2018-12-20,38,Bench
EMP1983,PRJ132,2022-01-23,7,Training
EMP1984,,2024-12-07,115,Bench
EMP1985,PRJ142,2025-04-06,0,Billed
EMP1986,,2018-09-28,23,Bench
EMP1987,,2023-01-19,26,Bench
EMP1988,,2020-07-09,29,Bench
EMP1989,PRJ126,2020-07-18,3,Training
EMP1990,,2021-10-08,69,Bench
EMP1991,PRJ112,2021-11-19,4,Billed
EMP1992,,2020-03-24,24,Bench
EMP1993,PRJ139,2025-07-23,6,Training
EMP1994,PRJ140,2018-11-25,9,Training
EMP1995,,2022-07-08,19,Bench
EMP1996,PRJ148,2021-08-31,13,Training
EMP1997,PRJ113,2021-09-21,4,Billed
EMP1998,PRJ135,2024-02-28,4,Training
EMP1999,PRJ118,2022-05-27,13,Billed
